round,period,step,bids,asks,cbid,cask,trade,price,bprofits,sprofits
0,0,0,"[0.05, 0.15, 0.81, 0.08]","[0.39, 0.42, 0.66, 0.43]",,,1,0.6,"[0.0, 0.0, 0.39, 0.0]","[0.55, 0.0, 0.0, 0.0]"
0,0,1,"[0.28, 0.2, 0.24, 0.15]","[0.75, 0.71, 0.87, 0.99]",0.28,0.71,0,,"[0.0, 0.0, 0.39, 0.0]","[0.55, 0.0, 0.0, 0.0]"
0,0,2,"[0.44, 0.53, 0.48, 0.57]","[0.88, 0.98, 0.97, 0.96]",,,1,0.72,"[0.0, 0.0, 0.39, 0.22]","[1.03, 0.0, 0.0, 0.0]"
0,0,3,"[0.57, 0.78, 0.66, 0.59]","[0.5, 0.92, 0.88, 0.96]",,,1,0.64,"[0.0, 0.24, 0.39, 0.22]","[1.39, 0.0, 0.0, 0.0]"
0,0,4,"[0.04, 0.08, 0.69, 0.78]","[0.8, 0.92, 0.48, 0.5]",,,1,0.63,"[0.0, 0.24, 0.39, 0.46]","[1.39, 0.0, 0.31, 0.0]"
0,0,5,"[0.37, 0.11, 0.27, 0.18]","[0.85, 0.73, 0.87, 0.98]",,,1,0.55,"[0.18, 0.24, 0.39, 0.46]","[1.39, 0.27, 0.31, 0.0]"
0,0,6,"[0.4, 0.17, 0.07, 0.45]","[0.51, 0.92, 0.85, 0.77]",0.45,0.51,0,,"[0.18, 0.24, 0.39, 0.46]","[1.39, 0.27, 0.31, 0.0]"
0,0,7,"[0.49, 0.02, 0.35, 0.36]","[0.65, 0.81, 0.5, 0.64]",,,1,0.49,"[0.4, 0.24, 0.39, 0.46]","[1.39, 0.27, 0.38, 0.0]"
0,0,8,"[0.11, 0.36, 0.6, 0.08]","[0.56, 0.89, 0.62, 0.99]",,,1,0.58,"[0.4, 0.24, 0.76, 0.46]","[1.48, 0.27, 0.38, 0.0]"
0,0,9,"[0.11, 0.21, 0.36, 0.09]","[None, 0.76, 0.84, 0.74]",0.36,0.74,0,,"[0.4, 0.24, 0.76, 0.46]","[1.48, 0.27, 0.38, 0.0]"
0,0,10,"[0.25, 0.74, 0.14, 0.01]","[None, 0.93, 0.68, 0.86]",,,1,0.71,"[0.4, 0.38, 0.76, 0.46]","[1.48, 0.27, 0.51, 0.0]"
0,0,11,"[0.16, 0.48, 0.35, 0.44]","[None, 0.66, 0.8, 0.99]",0.48,0.66,0,,"[0.4, 0.38, 0.76, 0.46]","[1.48, 0.27, 0.51, 0.0]"
0,0,12,"[0.64, 0.53, 0.4, 0.51]","[None, 0.86, 0.82, 0.27]",,,1,0.46,"[0.62, 0.38, 0.76, 0.46]","[1.48, 0.27, 0.51, 0.24]"
0,0,13,"[0.33, 0.32, 0.13, 0.13]","[None, 0.48, 0.76, 0.62]",0.33,0.48,0,,"[0.62, 0.38, 0.76, 0.46]","[1.48, 0.27, 0.51, 0.24]"
0,0,14,"[0.33, 0.02, 0.27, 0.21]","[None, 0.57, 0.71, 0.66]",0.33,0.57,0,,"[0.62, 0.38, 0.76, 0.46]","[1.48, 0.27, 0.51, 0.24]"
0,0,15,"[0.01, 0.06, 0.17, 0.56]","[None, 0.89, 0.91, 0.85]",0.56,0.85,0,,"[0.62, 0.38, 0.76, 0.46]","[1.48, 0.27, 0.51, 0.24]"
0,0,16,"[0.51, 0.1, 0.15, 0.73]","[None, 0.88, 0.77, 0.66]",,,1,0.7,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,17,"[0.25, 0.38, 0.03, 0.09]","[None, 0.52, 0.97, 0.89]",0.38,0.52,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,18,"[0.39, 0.15, 0.47, 0.11]","[None, 0.63, 0.89, 0.66]",0.47,0.63,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,19,"[0.21, 0.44, 0.46, 0.02]","[None, 0.73, 0.69, 0.64]",0.46,0.64,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,20,"[0.27, 0.09, 0.38, 0.25]","[None, 0.53, 0.7, 0.72]",0.38,0.53,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,21,"[0.18, 0.13, 0.0, 0.3]","[None, 0.72, 0.85, 0.65]",0.3,0.65,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,22,"[0.49, 0.33, 0.44, 0.13]","[None, 0.69, 0.8, 0.67]",0.49,0.67,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
