r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
0,0,0,"[0.0, 0.34, None, 0.98]","[1.0, 0.44, None, 0.1]",,,True,0.54,0.44,0.44,B3,S3
0,0,1,"[0.1, 0.12, None, 0.86]","[0.9, 0.49, None, 0.1]",,,True,0.48,0.38,0.38,B3,S3
0,0,2,"[0.19, 0.4, None, 0.77]","[0.81, 0.12, None, 0.25]",,,True,0.44,0.33,0.38,B3,S1
0,0,3,"[0.29, 0.57, None, 0.71]","[0.71, 0.74, None, 0.25]",,,True,0.48,0.23,0.23,B3,S3
0,0,4,"[0.38, 0.42, None, 0.71]","[0.62, 0.37, None, 0.28]",,,True,0.5,0.21,0.21,B3,S3
0,0,5,"[0.48, 0.65, None, 0.62]","[0.52, 0.64, None, 0.3]",,,True,0.47,0.18,0.17,B1,S3
0,0,6,"[0.57, 0.55, None, 0.62]","[0.43, 0.32, None, 0.37]",,,True,0.47,0.15,0.2,B3,S1
0,0,7,"[0.67, 0.34, None, 0.61]","[0.33, 0.87, None, 0.37]",,,True,0.5,0.45,0.45,B0,S0
0,0,8,"[0.74, 0.06, None, 0.61]","[0.3, 0.33, None, 0.37]",,,True,0.52,0.41,0.4,B0,S0
0,0,9,"[0.72, 0.63, None, 0.61]","[0.27, 0.62, None, 0.37]",,,True,0.49,0.31,0.31,B0,S0
0,0,10,"[0.79, 0.27, None, 0.61]","[0.24, 0.64, None, 0.37]",,,True,0.51,0.27,0.27,B0,S0
0,0,11,"[0.77, 0.26, None, 0.61]","[0.26, 0.65, None, 0.37]",,,True,0.51,0.25,0.25,B0,S0
0,0,12,"[0.61, 0.6, None, 0.61]","[0.34, 0.71, None, 0.37]",,,True,0.47,0.14,0.14,B3,S0
0,0,13,"[0.61, 0.56, None, 0.46]","[0.39, 0.42, None, 0.37]",,,True,0.49,0.12,0.12,B0,S3
0,0,14,"[0.45, 0.23, None, 0.46]","[0.39, 0.3, None, 0.52]",,,True,0.38,0.08,0.09,B3,S1
0,0,15,"[0.45, 0.21, None, 0.43]","[0.39, 0.38, None, 0.52]",,,True,0.42,0.04,0.07,B0,S1
0,0,16,"[0.45, 0.04, None, 0.43]","[0.39, 0.46, None, 0.52]",,,True,0.42,0.03,0.03,B0,S0
0,0,17,"[0.43, 0.16, None, 0.43]","[0.41, 0.89, None, 0.52]",,,True,0.42,0.01,0.01,B0,S0
0,0,18,"[0.33, 0.16, None, 0.43]","[0.45, 0.69, None, 0.52]",0.43,0.45,False,,,,,
0,0,19,"[0.33, 0.13, 0.45, 0.43]","[0.45, 0.97, 0.43, 0.52]",,,True,0.44,0.49,0.29,B2,S2
0,0,20,"[0.33, 0.08, None, 0.43]","[0.45, 0.47, None, 0.52]",0.43,0.45,False,,,,,
0,0,21,"[0.33, 0.56, 0.45, 0.43]","[0.45, 0.69, 0.43, 0.52]",,,True,0.49,0.14,0.32,B1,S2
0,0,22,"[0.33, 0.01, None, 0.43]","[0.45, 0.82, None, 0.52]",0.43,0.45,False,,,,,
0,0,23,"[0.33, 0.31, 0.45, 0.43]","[0.45, 0.53, 0.43, 0.52]",,,True,0.44,0.48,0.22,B2,S2
0,0,24,"[0.33, 0.54, None, 0.43]","[0.45, 0.48, None, 0.52]",,,True,0.5,0.1,0.05,B1,S0
0,0,25,"[0.33, 0.23, None, 0.43]","[0.69, 0.5, None, 0.52]",0.43,0.5,False,,,,,
0,0,26,"[0.33, 0.42, 0.5, 0.43]","[0.69, 0.71, 0.43, 0.52]",,,True,0.46,0.43,0.23,B2,S2
0,0,27,"[0.33, 0.45, None, 0.43]","[0.69, 0.63, None, 0.52]",0.45,0.52,False,,,,,
0,0,28,"[0.33, 0.2, 0.52, 0.43]","[0.69, 0.47, 0.45, 0.52]",,,True,0.48,0.3,0.2,B2,S2
0,0,29,"[0.33, 0.06, None, 0.43]","[0.69, 0.92, None, 0.52]",0.43,0.52,False,,,,,
0,0,30,"[0.33, 0.48, 0.52, 0.43]","[0.69, 0.54, 0.43, 0.52]",,,True,0.47,0.12,0.15,B2,S2
0,0,31,"[0.33, 0.53, None, 0.43]","[0.69, 0.7, None, 0.52]",,,True,0.53,0.05,0.01,B1,S3
0,0,32,"[0.33, 0.5, None, 0.43]","[0.69, 0.43, None, 0.52]",,,True,0.46,0.1,0.05,B1,S1
0,0,33,"[0.33, 0.17, None, 0.43]","[0.69, 0.56, None, 0.52]",0.43,0.52,False,,,,,
0,0,34,"[0.33, 0.49, 0.52, 0.43]","[0.69, 0.76, 0.99, 0.52]",,,True,0.52,0.06,0.0,B2,S3
0,0,35,"[0.33, 0.08, None, 0.43]","[0.69, 0.53, None, 0.54]",0.43,0.53,False,,,,,
0,0,36,"[0.33, 0.14, 0.01, 0.43]","[0.69, 0.64, 0.99, 0.54]",0.43,0.53,False,,,,,
0,0,37,"[0.33, 0.3, 0.01, 0.43]","[0.69, 0.91, 0.99, 0.54]",0.43,0.53,False,,,,,
0,0,38,"[0.33, 0.51, 0.01, 0.43]","[0.69, 0.49, 0.99, 0.54]",,,True,0.5,0.05,0.07,B1,S1
0,0,39,"[0.33, 0.3, None, 0.43]","[0.69, 0.86, None, 0.54]",0.43,0.54,False,,,,,
0,0,40,"[0.33, 0.45, 0.01, 0.43]","[0.69, 0.86, 0.99, 0.54]",0.45,0.54,False,,,,,
0,0,41,"[0.33, 0.09, 0.01, 0.43]","[0.69, 0.65, 0.45, 0.54]",,,True,0.45,0.01,0.05,B1,S2
0,0,42,"[0.33, 0.0, None, 0.43]","[0.69, 0.88, None, 0.54]",0.43,0.54,False,,,,,
0,0,43,"[0.33, 0.4, 0.01, 0.43]","[0.69, 0.58, 0.99, 0.54]",0.43,0.54,False,,,,,
0,0,44,"[0.33, 0.28, 0.01, 0.43]","[0.69, 0.86, 0.99, 0.54]",0.43,0.54,False,,,,,
0,0,45,"[0.33, 0.4, 0.01, 0.43]","[0.69, 0.57, 0.99, 0.54]",0.43,0.54,False,,,,,
0,0,46,"[0.33, 0.37, 0.01, 0.43]","[0.69, 0.8, 0.99, 0.54]",0.43,0.54,False,,,,,
0,0,47,"[0.33, 0.24, 0.01, 0.43]","[0.69, 0.59, 0.99, 0.54]",0.43,0.54,False,,,,,
0,0,48,"[0.33, 0.18, 0.54, 0.43]","[0.69, 0.68, 0.43, 0.54]",,,True,0.49,0.04,0.05,B2,S2
0,0,49,"[0.33, 0.09, None, 0.43]","[0.69, 0.59, None, 0.54]",0.43,0.54,False,,,,,
1,0,0,"[0.0, 0.38, None, 0.98]","[1.0, 0.19, None, 0.1]",,,True,0.54,0.44,0.44,B3,S3
1,0,1,"[0.1, 0.53, None, 0.86]","[0.9, 0.19, None, 0.1]",,,True,0.48,0.38,0.38,B3,S3
1,0,2,"[0.19, 0.01, None, 0.77]","[0.81, 0.66, None, 0.25]",,,True,0.51,0.26,0.26,B3,S3
1,0,3,"[0.29, 0.35, None, 0.71]","[0.71, 1.0, None, 0.28]",,,True,0.5,0.22,0.22,B3,S3
1,0,4,"[0.38, 0.58, None, 0.71]","[0.62, 0.26, None, 0.3]",,,True,0.49,0.23,0.42,B3,S1
1,0,5,"[0.48, 0.2, None, 0.62]","[0.52, 0.48, None, 0.3]",,,True,0.46,0.16,0.16,B3,S3
1,0,6,"[0.57, 0.2, None, 0.61]","[0.43, 0.58, None, 0.37]",,,True,0.49,0.12,0.12,B3,S3
1,0,7,"[0.67, 0.38, None, 0.46]","[0.33, 0.88, None, 0.52]",,,True,0.5,0.45,0.45,B0,S0
1,0,8,"[0.74, 0.5, None, 0.46]","[0.3, 0.37, None, 0.52]",,,True,0.52,0.41,0.4,B0,S0
1,0,9,"[0.72, 0.14, None, 0.46]","[0.27, 0.44, None, 0.52]",,,True,0.49,0.31,0.31,B0,S0
1,0,10,"[0.79, 0.09, None, 0.46]","[0.24, 0.85, None, 0.52]",,,True,0.51,0.27,0.27,B0,S0
1,0,11,"[0.77, 0.28, None, 0.46]","[0.26, 0.42, None, 0.52]",,,True,0.51,0.25,0.25,B0,S0
1,0,12,"[0.61, 0.38, None, 0.46]","[0.34, 0.51, None, 0.52]",,,True,0.47,0.13,0.13,B0,S0
1,0,13,"[0.45, 0.34, None, 0.46]","[0.39, 0.34, None, 0.52]",,,True,0.4,0.06,0.12,B3,S1
1,0,14,"[0.45, 0.03, None, 0.43]","[0.39, 0.99, None, 0.52]",,,True,0.42,0.03,0.03,B0,S0
