round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity
0,49,0.5693043469815104,24.260192184347858,51,23.91544666226899,0.985789662362968,0.5268474133211418,0.04245693366036862,2
1,52,0.48357539144585315,25.44318751263768,52,25.443187512637685,1.0000000000000002,0.4782067550347684,0.0053686364110847595,0
2,54,0.4004477977045485,26.39600450565456,52,25.520234322951048,0.9668218656912297,0.4557951039245479,0.05534730621999939,2
3,52,0.45030760311607027,24.15184439961663,52,24.051290004985184,0.9958365749229057,0.4761601432478824,0.02585254013181215,0
4,50,0.5312655080179921,24.343039888635428,51,24.23105732769278,0.995399811960423,0.5330416678610242,0.0017761598430321435,1
5,45,0.45179647884004925,20.971018336978325,46,20.885590427160174,0.9959263823794615,0.4726997614134416,0.020903282573392357,1
6,44,0.5050477916108134,22.66234644919095,43,22.630186013082472,0.9985808867506027,0.4891119310498873,0.015935860560926052,1
7,46,0.45209874800387406,23.802693249326747,46,23.592539984113554,0.9911710299749741,0.4822310354906612,0.030132287486787146,0
8,53,0.47732101826463763,23.024863615594448,54,23.0154562291477,0.9995914248786091,0.48245483831257735,0.005133820047939719,1
9,48,0.469266786126611,21.455311554964474,49,21.373058659913397,0.996166315513976,0.46120276439301966,0.008064021733591331,1
10,51,0.45513279996775446,28.216787452188573,53,28.112077623976376,0.9962890946253318,0.4667651207682233,0.011632320800468832,2
11,51,0.5124815870064355,24.86734341261587,51,24.74155838736626,0.9949417586284751,0.5134245758529914,0.0009429888465558589,0
12,44,0.464051827440453,22.540807126341647,45,22.485471022779592,0.9975450700033989,0.4909501726930874,0.026898345252634404,1
13,53,0.5056781833652604,25.02313287185491,55,24.863367886205847,0.9936153084241198,0.47385178744837103,0.03182639591688935,2
14,46,0.5355526312208441,22.044886803796306,46,21.96406606448992,0.9963338101925536,0.5340873588259126,0.0014652723949314383,0
15,43,0.5377253848605827,21.120488305617013,45,20.982815337500845,0.9934815442652644,0.5180815746272616,0.01964381023332118,2
16,46,0.533504882739451,24.610591232681564,48,24.469400170463487,0.9942629959238614,0.5155778467662423,0.01792703597320866,2
17,50,0.4959550946883627,25.336030294742528,48,23.89119283819182,0.9429730135406995,0.4887779034105217,0.007177191277841,2
18,51,0.5247907130558797,24.98517034727331,52,24.78618616553465,0.9920359085420294,0.523942921019333,0.000847792036546613,1
19,48,0.5493716432570748,23.697502777375288,48,23.643366308998964,0.9977155201168281,0.5243768713448386,0.024994771912236202,0
20,52,0.5202274962276738,26.814343458934644,52,26.773549074559106,0.9984786357183045,0.5150533982128406,0.005174098014833262,0
21,46,0.49853148315288665,23.514208891518606,47,23.483537553980124,0.9986956253693253,0.4976870676901673,0.0008444154627193501,1
