r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
0,0,0,"[0.0, 0.36, None, 0.95]","[1.0, 0.9, None, 0.06]",,,True,0.51,0.45,0.45,B3,S3
0,0,1,"[0.09, 0.2, None, 0.91]","[0.9, 0.5, None, 0.08]",,,True,0.5,0.42,0.42,B3,S3
0,0,2,"[0.19, 0.16, None, 0.87]","[0.8, 0.83, None, 0.26]",,,True,0.56,0.3,0.3,B3,S3
0,0,3,"[0.28, 0.48, None, 0.66]","[0.7, 0.29, None, 0.3]",,,True,0.47,0.19,0.47,B3,S1
0,0,4,"[0.38, 0.61, None, 0.35]","[0.6, 0.59, None, 0.3]",,,True,0.45,0.4,0.16,B1,S3
0,0,5,"[0.47, 0.8, None, 0.35]","[0.5, 0.86, None, 0.38]",,,True,0.59,0.25,0.21,B1,S3
0,0,6,"[0.57, 0.56, None, 0.35]","[0.4, 0.98, None, 0.41]",,,True,0.48,0.46,0.48,B0,S0
0,0,7,"[0.63, 0.55, None, 0.35]","[0.55, 0.22, None, 0.41]",,,True,0.42,0.47,0.37,B0,S1
0,0,8,"[0.52, 0.46, None, 0.35]","[0.49, 0.96, None, 0.41]",,,True,0.47,0.18,0.05,B0,S3
0,0,9,"[0.57, 0.22, None, 0.35]","[0.42, 0.67, None, 0.46]",,,True,0.5,0.14,0.14,B0,S0
0,0,10,"[0.38, 0.11, None, 0.35]","[0.44, 0.8, None, 0.46]",0.38,0.44,False,,,,,
0,0,11,"[0.38, 0.5, 0.44, 0.35]","[0.44, 0.46, 0.38, 0.46]",,,True,0.44,0.26,0.44,B1,S2
0,0,12,"[0.38, 0.46, None, 0.35]","[0.44, 0.77, None, 0.46]",,,True,0.45,0.06,0.01,B1,S0
0,0,13,"[0.38, 0.42, None, 0.35]","[0.49, 0.59, None, 0.46]",0.42,0.46,False,,,,,
0,0,14,"[0.38, 0.01, 0.46, 0.35]","[0.49, 0.46, 0.42, 0.46]",,,True,0.44,0.41,0.32,B2,S2
0,0,15,"[0.38, 0.38, None, 0.35]","[0.49, 0.35, None, 0.46]",,,True,0.36,0.11,0.25,B1,S1
0,0,16,"[0.38, 0.39, None, 0.35]","[0.49, 0.83, None, 0.46]",0.39,0.46,False,,,,,
0,0,17,"[0.38, 0.11, 0.46, 0.35]","[0.49, 0.34, 0.39, 0.46]",,,True,0.4,0.42,0.27,B2,S1
0,0,18,"[0.38, 0.4, None, 0.35]","[0.49, 0.64, None, 0.46]",0.4,0.46,False,,,,,
0,0,19,"[0.38, 0.13, 0.46, 0.35]","[0.49, 0.38, 0.4, 0.46]",,,True,0.42,0.31,0.27,B2,S1
0,0,20,"[0.38, 0.08, None, 0.35]","[0.49, 0.97, None, 0.46]",0.38,0.46,False,,,,,
0,0,21,"[0.38, 0.07, 0.46, 0.35]","[0.49, 0.33, 0.38, 0.46]",,,True,0.4,0.28,0.21,B2,S1
0,0,22,"[0.38, 0.34, None, 0.35]","[0.49, 0.98, None, 0.46]",0.38,0.46,False,,,,,
0,0,23,"[0.38, 0.41, 0.01, 0.35]","[0.49, 0.96, 0.38, 0.46]",,,True,0.39,0.05,0.13,B1,S2
0,0,24,"[0.38, 0.22, None, 0.35]","[0.49, 0.52, None, 0.46]",0.38,0.46,False,,,,,
0,0,25,"[0.38, 0.25, 0.01, 0.35]","[0.49, 0.69, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,26,"[0.38, 0.1, 0.01, 0.35]","[0.49, 0.93, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,27,"[0.38, 0.33, 0.01, 0.35]","[0.49, 0.55, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,28,"[0.38, 0.16, 0.01, 0.35]","[0.49, 0.9, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,29,"[0.38, 0.14, 0.01, 0.35]","[0.49, 0.83, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,30,"[0.38, 0.11, 0.01, 0.35]","[0.49, 0.58, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,31,"[0.38, 0.03, 0.01, 0.35]","[0.49, 0.97, 0.99, 0.46]",0.38,0.46,False,,,,,
0,0,32,"[0.38, 0.4, 0.01, 0.35]","[0.49, 0.63, 0.99, 0.46]",0.4,0.46,False,,,,,
0,0,33,"[0.38, 0.38, 0.01, 0.35]","[0.49, 0.49, 0.99, 0.46]",0.4,0.46,False,,,,,
0,0,34,"[0.38, 0.02, 0.01, 0.35]","[0.49, 0.61, 0.99, 0.46]",0.4,0.46,False,,,,,
0,0,35,"[0.38, 0.06, 0.01, 0.35]","[0.49, 0.75, 0.99, 0.46]",0.4,0.46,False,,,,,
0,0,36,"[0.38, 0.16, 0.01, 0.35]","[0.49, 1.0, 0.99, 0.46]",0.4,0.46,False,,,,,
0,0,37,"[0.38, 0.13, 0.01, 0.35]","[0.49, 0.52, 0.99, 0.46]",0.4,0.46,False,,,,,
0,0,38,"[0.38, 0.34, 0.01, 0.35]","[0.49, 0.44, 0.99, 0.46]",0.4,0.44,False,,,,,
0,0,39,"[0.38, 0.13, 0.01, 0.35]","[0.49, 0.52, 0.99, 0.46]",0.4,0.44,False,,,,,
0,0,40,"[0.38, 0.13, 0.01, 0.35]","[0.49, 0.95, 0.99, 0.46]",0.4,0.44,False,,,,,
